Kode Variabel,Label,label_english,Variable Type,Aggregation Method,aggregation,Notes
R601AK2,JENIS/JENJANG PENDIDIKAN : POS PENDIDIKAN ANAK USIA DINI (PAUD) NEGERI,Type/Level of Education: State Early Childhood Education Post (PAUD),village level,Count of this type of educational institution across villages within a regency,sum,
R601AK3,JENIS/JENJANG PENDIDIKAN : POS PENDIDIKAN ANAK USIA DINI (PAUD) SWASTA,Type/Level of Education: Private Early Childhood Education Post (PAUD),village level,Count of educational institution across villages within a regency,sum,
R601AK4,JARAK KE POS PENDIDIKAN ANAK USIA DINI (PAUD) (KM),Distance to Early Childhood Education Post (PAUD) (Km),village level,Average distance to educational institution across villages within a regency,mean,
R601AK5,KEMUDAHAN AKSES KE POS PENDIDIKAN ANAK USIA DINI (PAUD),Ease of access to Early Childhood Education Post (PAUD),village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601BK2,JENIS/JENJANG PENDIDIKAN : TK NEGERI,Types/levels of education: TK Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601BK3,JENIS/JENJANG PENDIDIKAN : TK SWASTA,Type/level of education: private kindergarten,village level,Count of educational institution across villages within a regency,sum,
R601BK4,JARAK KE TK (KM),Distance to kindergarten (km),village level,Average distance to educational institution across villages within a regency,mean,
R601BK5,KEMUDAHAN AKSES KE TK,Ease of access to kindergarten,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601CK2,JENIS/JENJANG PENDIDIKAN : RA/BA NEGERI,Type/level of education: RA/BA Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601CK3,JENIS/JENJANG PENDIDIKAN : RA/BA SWASTA,Type/level of education: RA/BA Private,village level,Count of educational institution across villages within a regency,sum,
R601CK4,JARAK KE RA/BA (KM),Distance to ra/ba (km),village level,Average distance to educational institution across villages within a regency,mean,
R601CK5,KEMUDAHAN AKSES KE RA/BA,Ease of access to RA/BA,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601DK2,JENIS/JENJANG PENDIDIKAN : SD NEGERI,Type/level of education: SD Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601DK3,JENIS/JENJANG PENDIDIKAN : SD SWASTA,Type/level of education: private elementary school,village level,Count of educational institution across villages within a regency,sum,
R601DK4,JARAK KE SD (KM),Distance to SD (KM),village level,Average distance to educational institution across villages within a regency,mean,
R601DK5,KEMUDAHAN AKSES KE SD,Ease of access to SD,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601EK2,JENIS/JENJANG PENDIDIKAN : MI NEGERI,Type/level of education: MI Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601EK3,JENIS/JENJANG PENDIDIKAN : MI SWASTA,Types/levels of education: Private MI,village level,Count of educational institution across villages within a regency,sum,
R601EK4,JARAK KE MI (KM),Distance to mi (km),village level,Average distance to educational institution across villages within a regency,mean,
R601EK5,KEMUDAHAN AKSES KE MI,Ease of access to MI,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601FK2,JENIS/JENJANG PENDIDIKAN : SMP NEGERI,Type/level of education: SMP Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601FK3,JENIS/JENJANG PENDIDIKAN : SMP SWASTA,Type/level of education: private junior high school,village level,Count of educational institution across villages within a regency,sum,
R601FK4,JARAK KE SMP (KM),Distance to junior high school (km),village level,Average distance to educational institution across villages within a regency,mean,
R601FK5,KEMUDAHAN AKSES KE SMP,Ease of access to junior high school,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601GK2,JENIS/JENJANG PENDIDIKAN : MTS NEGERI,Type/Level of Education: MTs Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601GK3,JENIS/JENJANG PENDIDIKAN : MTS SWASTA,Type/Level of Education: Private MTs,village level,Count of educational institution across villages within a regency,sum,
R601GK4,JARAK KE MTS (KM),Distance to MTs (km),village level,Average distance to educational institution across villages within a regency,mean,
R601GK5,KEMUDAHAN AKSES KE MTS,Ease of access to MTs,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601HK2,JENIS/JENJANG PENDIDIKAN : SMA NEGERI,Type/Level of Education: SMA Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601HK3,JENIS/JENJANG PENDIDIKAN : SMA SWASTA,Type/level of education: private high school,village level,Count of educational institution across villages within a regency,sum,
R601HK4,JARAK KE SMA (KM),Distance to high school (km),village level,Average distance to educational institution across villages within a regency,mean,
R601HK5,KEMUDAHAN AKSES KE SMA,Ease of access to high school,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601IK2,JENIS/JENJANG PENDIDIKAN : MA NEGERI,Type/level of education: MA Negeri,village level,Count of this type of educational institution across villages within a regency,sum,
R601IK3,JENIS/JENJANG PENDIDIKAN : MA SWASTA,Type/level of education: MA Private,village level,Count of educational institution across villages within a regency,sum,
R601IK4,JARAK KE MA (KM),Distance to MA (km),village level,Average distance to educational institution across villages within a regency,mean,
R601IK5,KEMUDAHAN AKSES KE MA,Ease of access to MA,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601JK2,JENIS/JENJANG PENDIDIKAN : SMK NEGERI,Type/level of education: State Vocational School,village level,Count of this type of educational institution across villages within a regency,sum,
R601JK3,JENIS/JENJANG PENDIDIKAN : SMK SWASTA,Type/level of education: private vocational school,village level,Count of this type of educational institution across villages within a regency,sum,
R601JK4,JARAK KE SMK (KM),Distance to SMK (KM),village level,Average distance to educational institution across villages within a regency,mean,
R601JK5,KEMUDAHAN AKSES KE SMK,Ease of access to SMK,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R601KK2,JENIS/JENJANG PENDIDIKAN : AKADEMI/PERGURUAN TINGGI NEGERI,Type/Level of Education: State Academy/Universities,village level,Count of this type of educational institution across villages within a regency,sum,
R601KK3,JENIS/JENJANG PENDIDIKAN : AKADEMI/PERGURUAN TINGGI SWASTA,Type/Level of Education: Private Academy/College,village level,Count of educational institution across villages within a regency,sum,
R601KK4,JARAK KE AKADEMI/PERGURUAN TINGGI (KM),Distance to Academy/Higher Education (KM),village level,Average distance to educational institution across villages within a regency,mean,
R601KK5,KEMUDAHAN AKSES KE AKADEMI/PERGURUAN TINGGI,Ease of access to the Academy/College,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R602,KEBERADAAN TAMAN BACAAN MASYARAKAT (TBM),The existence of Community Reading Park (TBM),village level,Proportion of villages with Community Reading Park within a regency,proportion,
R603AK2,JUMLAH RUMAH SAKIT,Number of hospitals,village level,Count of hospitals across villages within a regency,sum,
R603AK3,JARAK TERDEKAT MENUJU RUMAH SAKIT,The closest distance to the hospital,village level,Average distance to hospitals across villages within a regency,mean,
R603AK4,KEMUDAHAN UNTUK MENCAPAI RUMAH SAKIT,Ease of reaching the hospital,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603BK2,JUMLAH RUMAH SAKIT BERSALIN,Number of Maternity Hospitals,village level,Count of hospitals across villages within a regency,sum,
R603BK3,JARAK TERDEKAT MENUJU RUMAH SAKIT BERSALIN,The closest distance to the Hospital Maternity,village level,Average distance to hospitals across villages within a regency,mean,
R603BK4,KEMUDAHAN UNTUK MENCAPAI RUMAH SAKIT BERSALIN,Ease of reaching the maternity hospital,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603CK2,JUMLAH PUSKESMAS DENGAN RAWAT INAP,Number of Puskesmas with inpatient,village level,Count of Puskesmas across villages within a regency,sum,
R603CK3,JARAK TERDEKAT MENUJU PUSKESMAS DENGAN RAWAT INAP,Closest distance to the puskesmas with inpatient,village level,Average distance to Puskesmas across villages within a regency,mean,
R603CK4,KEMUDAHAN UNTUK MENCAPAI PUSKESMAS DENGAN RAWAT INAP,Ease of reaching the Puskesmas with inpatient,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603DK2,JUMLAH PUSKESMAS TANPA RAWAT INAP,Number of Puskesmas without Inpatient,village level,Count of Puskesmas across villages within a regency,sum,
R603DK3,JARAK TERDEKAT MENUJU PUSKESMAS TANPA RAWAT INAP,Closest distance to the puskesmas without hospitalization,village level,Average distance to Puskesmas across villages within a regency,mean,
R603DK4,KEMUDAHAN UNTUK MENCAPAI PUSKESMAS TANPA RAWAT INAP,Ease of reaching the Puskesmas without hospitalization,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603EK2,JUMLAH PUSKESMAS PEMBANTU,Number of Supporting Puskesmas,village level,Count of Puskesmas across villages within a regency,sum,
R603EK3,JARAK TERDEKAT MENUJU PUSKESMAS PEMBANTU,The closest distance to the Puskesmas Support,village level,Average distance to Puskesmas across villages within a regency,mean,
R603EK4,KEMUDAHAN UNTUK MENCAPAI PUSKESMAS PEMBANTU,Ease of reaching the Puskesmas auxiliary,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603FK2,JUMLAH POLIKLINIK/BALAI PENGOBATAN,Number of Polyclinic/Treatment Center,village level,Count of Polyclinic/Treatment Center across villages within a regency,sum,
R603FK3,JARAK TERDEKAT MENUJU POLIKLINIK/BALAI PENGOBATAN,The closest distance to the Polyclinic/Treatment Center,village level,Average distance to Polyclinic/Treatment Center across villages within a regency,mean,
R603FK4,KEMUDAHAN UNTUK MENCAPAI POLIKLINIK/BALAI PENGOBATAN,Ease of achieving polyclinic/treatment centers,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603GK2,JUMLAH TEMPAT PRAKTEK DOKTER,The number of doctor practice places,village level,Count of doctor practice places across villages within a regency,sum,
R603GK3,JARAK TERDEKAT MENUJU TEMPAT PRAKTEK DOKTER,The closest distance to the doctor's practice,village level,Average distance to doctor practice placesacross villages within a regency,mean,
R603GK4,KEMUDAHAN UNTUK MENCAPAI TEMPAT PRAKTEK DOKTER,Ease of reaching the doctor's practice,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603HK2,JUMLAH RUMAH BERSALIN,Number of maternity houses,village level,Count of maternity houses across villages within a regency,sum,
R603HK3,JARAK TERDEKAT MENUJU RUMAH SAKIT BERSALIN,The closest distance to the Hospital Maternity,village level,Average distance to  maternity houses across villages within a regency,mean,
R603HK4,KEMUDAHAN UNTUK MENCAPAI RUMAH BERSALIN,Ease of reaching the maternity house,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603IK2,JUMLAH TEMPAT PRAKTEK BIDAN,Number of Midwife Practice Places,village level,Count of Midwife Practice Places across villages within a regency,sum,
R603IK3,JARAK TERDEKAT MENUJU TEMPAT PRAKTEK BIDAN,Closest distance to the place of practice midwife,village level,Average distance to  Midwife Practice Places across villages within a regency,mean,
R603IK4,KEMUDAHAN UNTUK MENCAPAI TEMPAT PRAKTEK BIDAN,Ease of reaching the place of practice of midwives,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603JK2,JUMLAH POSKESDES (POS KESEHATAN DESA),Number of Poskesdes (Village Health Post),village level,Count of Poskesdes across villages within a regency,sum,
R603JK3,JARAK TERDEKAT MENUJU POSKESDES (POS KESEHATAN DESA),The closest distance to Poskesdes (Village Health Post),village level,Average distance to  Poskesdes across villages within a regency,mean,
R603JK4,KEMUDAHAN UNTUK MENCAPAI POSKESDES (POS KESEHATAN DESA),Ease of reaching Poskesdes (Village Health Post),village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603KK2,JUMLAH POLINDES (PONDOK BERSALIN DESA),Number of Polindes (Pondok Maternity Village),village level,Count of Polindes across villages within a regency,sum,
R603KK3,JARAK TERDEKAT MENUJU POLINDES (PONDOK BERSALIN DESA),The closest distance to Polindes (Pondok Maternity Village),village level,Average distance to  Polindes across villages within a regency,mean,
R603KK4,KEMUDAHAN UNTUK MENCAPAI POLINDES (PONDOK BERSALIN DESA),Ease of reaching Polindes (Pondok Maternity Village),village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603LK2,JUMLAH APOTEK,Number of Pharmacies,village level,Count of Pharmacies across villages within a regency,sum,
R603LK3,JARAK TERDEKAT MENUJU APOTEK,The closest distance to the pharmacy,village level,Average distance to  Pharmacies across villages within a regency,mean,
R603LK4,KEMUDAHAN UNTUK MENCAPAI APOTEK,Ease of reaching the pharmacy,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603MK2,JUMLAH TOKO KHUSUS OBAT/JAMU,The number of special drugs/herbal medicine shops,village level,Count of special drugs/herbal medicine shops across villages within a regency,sum,
R603MK3,JARAK TERDEKAT MENUJU TOKO KHUSUS OBAT/JAMU,The closest distance to the special drug/herbal medicine store,village level,Average distance to  special drugs/herbal medicine shops across villages within a regency,mean,
R603MK4,KEMUDAHAN UNTUK MENCAPAI TOKO KHUSUS OBAT/JAMU,Ease of achieving a special drug/herbal medicine store,village level,Creating dummy variable for each category of easy of access and calculating proportion,proportion,
R603NK2,POSYANDU MENURUT KEGIATAN/PELAYANAN SELAMA SETAHUN TERAKHIR,Posyandu according to activities/services for the past year,village level,Count the number of posyandu,sum,
R603N1K2,POSYANDU YANG MELAKUKAN KEGIATAN PENYULUHAN/PENDIDIKAN,Posyandu who carries out counseling/education activities,village level,Count the number of posyandu,sum,
R603N2K2,POSYANDU YANG MEMBERIKAN MAKANAN/MINUMAN TAMBAHAN,Posyandu which provides additional food/drinks,village level,Count the number of posyandu,sum,
R603N3K2,POSYANDU DENGAN KEGIATAN/PELAYANAN SETIAP SEBULAN SEKALI,Posyandu with activities/services once a month,village level,Count the number of posyandu,sum,
R603N4K2,POSYANDU DENGAN KEGIATAN/PELAYANAN SETIAP 2 BULAN SEKALI ATAU LEBIH,Posyandu with activities/services every 2 months or more,village level,Count the number of posyandu,sum,
R604,JUMLAH WARGA PENDERITA GIZI BURUK (MARASMUS DAN KWASHIORKOR) PADA TAHUN 2019,Number of citizens with malnutrition (Marasmus and Kwashiorkor) in 2019,village level,Count of citizens affected by manutrition,sum,
R605AK2,KEJADIAN LUAR BIASA (KLB) MUNTABER/DIARE,Extraordinary Events (KLB) Muntaber/diarrhea,village level,Proportion of villages reporting the event,proportion,
R605AK3,JUMLAH PENDERITA MUNTABER/DIARE,Number of sufferers of vomiting/diarrhea,village level,Total count across villages within a regency,sum,
R605AK4,JUMLAH PENDERITA YANG MENINGGAL KARENA MUNTABER/DIARE,The number of sufferers who died of vomiting/diarrhea,village level,Total count of deaths across villages within a regency,sum,
R605BK2,KEJADIAN LUAR BIASA (KLB) DEMAM BERDARAH,Extraordinary Events (KLB) Dengue Fever,village level,Proportion of villages reporting the event,proportion,
R605BK3,JUMLAH PENDERITA DEMAM BERDARAH,The number of people with dengue fever,village level,Total count across villages within a regency,sum,
R605BK4,JUMLAH PENDERITA YANG MENINGGAL KARENA DEMAM BERDARAH,The number of sufferers who died of dengue fever,village level,Total count of deaths across villages within a regency,sum,
R605CK2,KEJADIAN LUAR BIASA (KLB) CAMPAK,Extraordinary Events (KLB) Measles,village level,Proportion of villages reporting the event,proportion,
R605CK3,JUMLAH PENDERITA CAMPAK,Number of measles sufferers,village level,Total count across villages within a regency,sum,
R605CK4,JUMLAH PENDERITA YANG MENINGGAL KARENA CAMPAK,The number of sufferers who died of measles,village level,Total count of deaths across villages within a regency,sum,
R605DK2,KEJADIAN LUAR BIASA (KLB) MALARIA,Extraordinary Events (KLB) Malaria,village level,Proportion of villages reporting the event,proportion,
R605DK3,JUMLAH PENDERITA MALARIA,Number of malaria sufferers,village level,Total count across villages within a regency,sum,
R605DK4,JUMLAH PENDERITA YANG MENINGGAL KARENA MALARIA,The number of sufferers who died of malaria,village level,Total count of deaths across villages within a regency,sum,
R605EK2,KEJADIAN LUAR BIASA (KLB) FLU BURUNG/SARS,Extraordinary Events (KLB) bird flu/sars,village level,Proportion of villages reporting the event,proportion,
R605EK3,JUMLAH PENDERITA FLU BURUNG/SARS,The number of bird flu sufferers/sars,village level,Total count across villages within a regency,sum,
R605EK4,JUMLAH PENDERITA YANG MENINGGAL KARENA FLU BURUNG/SARS,The number of sufferers who died of bird flu/sars,village level,Total count of deaths across villages within a regency,sum,
R605FK2,KEJADIAN LUAR BIASA (KLB) HEPATITIS E,Extraordinary Events (KLB) Hepatitis E,village level,Proportion of villages reporting the event,proportion,
R605FK3,JUMLAH PENDERITA HEPATITIS E,The number of people with hepatitis e,village level,Total count across villages within a regency,sum,
R605FK4,JUMLAH PENDERITA YANG MENINGGAL KARENA HEPATITIS E,The number of sufferers who died of hepatitis e,village level,Total count of deaths across villages within a regency,sum,
R605GK2,KEJADIAN LUAR BIASA (KLB) DIFTERI,Extraordinary Events (KLB) Diphtheria,village level,Proportion of villages reporting the event,proportion,
R605GK3,JUMLAH PENDERITA DPT DIFTERI,Number of sufferers of diphtheria,village level,Total count across villages within a regency,sum,
R605GK4,JUMLAH PENDERITA YANG MENINGGAL KARENA DPT DIFTERI,The number of sufferers who died due to diphtheria DPT,village level,Total count of deaths across villages within a regency,sum,
R605HK2,KEJADIAN LUAR BIASA (KLB) COVID-19,Extraordinary Events (KLB) Covid-19,village level,Proportion of villages reporting the event,proportion,
R605HK3,JUMLAH PENDERITA COVID-19,Number of Covid-19 sufferers,village level,Total count across villages within a regency,sum,
R605HK4,JUMLAH PENDERITA YANG MENINGGAL KARENA COVID-19,Number of sufferers who died of Covid-19,village level,Total count of deaths across villages within a regency,sum,
R605IK2,"KEJADIAN LUAR BIASA (KLB) LAINNYA (MISALNYA: CHIKUNGUNYA, LEPTOSPIROSIS, KOLERA, DLL.)","Other extraordinary events (KLB) (for example: Chikungunya, leptospirosis, cholera, etc.)",village level,Proportion of villages reporting the event,proportion,
R605IK3,"JUMLAH PENDERITA LAINNYA (MISALNYA: CHIKUNGUNYA, LEPTOSPIROSIS, KOLERA, DLL.)","The number of other sufferers (for example: chikungunya, leptospirosis, cholera, etc.)",village level,Total count across villages within a regency,sum,
R605IK4,"JUMLAH PENDERITA YANG MENINGGAL KARENA LAINNYA (MISALNYA: CHIKUNGUNYA, LEPTOSPIROSIS, KOLERA, DLL.)","The number of sufferers who died due to other (for example: chikungunya, leptospirosis, cholera, etc.)",village level,Total count of deaths across villages within a regency,sum,
R701AK2,KETERSEDIAAN FASILITAS/LAPANGAN: SEPAK BOLA,Availability of facilities/field: soccer,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701AK3,KELOMPOK KEGIATAN : SEPAK BOLA,Activity Group: Football,village level,Proportion of villages having this activity group,proportion,
R701BK2,KETERSEDIAAN FASILITAS/LAPANGAN: BOLA VOLI,Availability of facilities/field: volleyball,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701BK3,KELOMPOK KEGIATAN : BOLA VOLI,Activity Group: Volleyball,village level,Proportion of villages having this activity group,proportion,
R701CK2,KETERSEDIAAN FASILITAS/LAPANGAN: BULU TANGKIS,Availability of facilities/field: badminton,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
