Kode Variabel,Label,label_english,aggregate by ,
R601HK3,JENIS/JENJANG PENDIDIKAN : SMA SWASTA,Type/level of education: private high school,sum,
R601HK4,JARAK KE SMA (KM),Distance to high school (km),mean,
R601HK5,KEMUDAHAN AKSES KE SMA,Ease of access to high school,mode,
R601IK2,JENIS/JENJANG PENDIDIKAN : MA NEGERI,Type/level of education: MA Negeri,sum,
R601IK3,JENIS/JENJANG PENDIDIKAN : MA SWASTA,Type/level of education: MA Private,sum,
R601IK4,JARAK KE MA (KM),Distance to MA (km),mean,
R601IK5,KEMUDAHAN AKSES KE MA,Ease of access to MA,mode,
R601JK2,JENIS/JENJANG PENDIDIKAN : SMK NEGERI,Type/level of education: State Vocational School,sum,
R601JK3,JENIS/JENJANG PENDIDIKAN : SMK SWASTA,Type/level of education: private vocational school,sum,
R601JK4,JARAK KE SMK (KM),Distance to SMK (KM),mean,
R601JK5,KEMUDAHAN AKSES KE SMK,Ease of access to SMK,mode,
R601KK2,JENIS/JENJANG PENDIDIKAN : AKADEMI/PERGURUAN TINGGI NEGERI,Type/Level of Education: State Academy/Universities,sum,
R601KK3,JENIS/JENJANG PENDIDIKAN : AKADEMI/PERGURUAN TINGGI SWASTA,Type/Level of Education: Private Academy/College,sum,
R601KK4,JARAK KE AKADEMI/PERGURUAN TINGGI (KM),Distance to Academy/Higher Education (KM),mean,
R601KK5,KEMUDAHAN AKSES KE AKADEMI/PERGURUAN TINGGI,Ease of access to the Academy/College,mode,
R602,KEBERADAAN TAMAN BACAAN MASYARAKAT (TBM),The existence of Community Reading Park (TBM),proportion,
R603AK2,JUMLAH RUMAH SAKIT,Number of hospitals,sum,
R603AK3,JARAK TERDEKAT MENUJU RUMAH SAKIT,The closest distance to the hospital,mean,
R603AK4,KEMUDAHAN UNTUK MENCAPAI RUMAH SAKIT,Ease of reaching the hospital,mode,
R603BK2,JUMLAH RUMAH SAKIT BERSALIN,Number of Maternity Hospitals,sum,
R603BK3,JARAK TERDEKAT MENUJU RUMAH SAKIT BERSALIN,The closest distance to the Hospital Maternity,mean,
R603BK4,KEMUDAHAN UNTUK MENCAPAI RUMAH SAKIT BERSALIN,Ease of reaching the maternity hospital,mode,
R603CK2,JUMLAH PUSKESMAS DENGAN RAWAT INAP,Number of Puskesmas with inpatient,sum,
R603CK3,JARAK TERDEKAT MENUJU PUSKESMAS DENGAN RAWAT INAP,Closest distance to the puskesmas with inpatient,mean,
R603CK4,KEMUDAHAN UNTUK MENCAPAI PUSKESMAS DENGAN RAWAT INAP,Ease of reaching the Puskesmas with inpatient,mode,
R603DK2,JUMLAH PUSKESMAS TANPA RAWAT INAP,Number of Puskesmas without Inpatient,sum,
R603DK3,JARAK TERDEKAT MENUJU PUSKESMAS TANPA RAWAT INAP,Closest distance to the puskesmas without hospitalization,mean,
R603DK4,KEMUDAHAN UNTUK MENCAPAI PUSKESMAS TANPA RAWAT INAP,Ease of reaching the Puskesmas without hospitalization,mode,
R603EK2,JUMLAH PUSKESMAS PEMBANTU,Number of Supporting Puskesmas,sum,
R603EK3,JARAK TERDEKAT MENUJU PUSKESMAS PEMBANTU,The closest distance to the Puskesmas Support,mean,
R603EK4,KEMUDAHAN UNTUK MENCAPAI PUSKESMAS PEMBANTU,Ease of reaching the Puskesmas auxiliary,mode,
R603FK2,JUMLAH POLIKLINIK/BALAI PENGOBATAN,Number of Polyclinic/Treatment Center,sum,
R603FK3,JARAK TERDEKAT MENUJU POLIKLINIK/BALAI PENGOBATAN,The closest distance to the Polyclinic/Treatment Center,mean,
R603FK4,KEMUDAHAN UNTUK MENCAPAI POLIKLINIK/BALAI PENGOBATAN,Ease of achieving polyclinic/treatment centers,mode,
R603GK2,JUMLAH TEMPAT PRAKTEK DOKTER,The number of doctor practice places,sum,
R603GK3,JARAK TERDEKAT MENUJU TEMPAT PRAKTEK DOKTER,The closest distance to the doctor's practice,mean,
R603GK4,KEMUDAHAN UNTUK MENCAPAI TEMPAT PRAKTEK DOKTER,Ease of reaching the doctor's practice,mode,
R603HK2,JUMLAH RUMAH BERSALIN,Number of maternity houses,sum,
R603HK3,JARAK TERDEKAT MENUJU RUMAH SAKIT BERSALIN,The closest distance to the Hospital Maternity,mean,
R603HK4,KEMUDAHAN UNTUK MENCAPAI RUMAH BERSALIN,Ease of reaching the maternity house,mode,
R603IK2,JUMLAH TEMPAT PRAKTEK BIDAN,Number of Midwife Practice Places,sum,
R603IK3,JARAK TERDEKAT MENUJU TEMPAT PRAKTEK BIDAN,Closest distance to the place of practice midwife,mean,
R603IK4,KEMUDAHAN UNTUK MENCAPAI TEMPAT PRAKTEK BIDAN,Ease of reaching the place of practice of midwives,mode,
R603JK2,JUMLAH POSKESDES (POS KESEHATAN DESA),Number of Poskesdes (Village Health Post),sum,
R603JK3,JARAK TERDEKAT MENUJU POSKESDES (POS KESEHATAN DESA),The closest distance to Poskesdes (Village Health Post),mean,
R603JK4,KEMUDAHAN UNTUK MENCAPAI POSKESDES (POS KESEHATAN DESA),Ease of reaching Poskesdes (Village Health Post),mode,
R603KK2,JUMLAH POLINDES (PONDOK BERSALIN DESA),Number of Polindes (Pondok Maternity Village),sum,
R603KK3,JARAK TERDEKAT MENUJU POLINDES (PONDOK BERSALIN DESA),The closest distance to Polindes (Pondok Maternity Village),mean,
R603KK4,KEMUDAHAN UNTUK MENCAPAI POLINDES (PONDOK BERSALIN DESA),Ease of reaching Polindes (Pondok Maternity Village),mode,
R603LK2,JUMLAH APOTEK,Number of Pharmacies,sum,
R603LK3,JARAK TERDEKAT MENUJU APOTEK,The closest distance to the pharmacy,mean,
R603LK4,KEMUDAHAN UNTUK MENCAPAI APOTEK,Ease of reaching the pharmacy,mode,
R603MK2,JUMLAH TOKO KHUSUS OBAT/JAMU,The number of special drugs/herbal medicine shops,sum,
R603MK3,JARAK TERDEKAT MENUJU TOKO KHUSUS OBAT/JAMU,The closest distance to the special drug/herbal medicine store,mean,
R603MK4,KEMUDAHAN UNTUK MENCAPAI TOKO KHUSUS OBAT/JAMU,Ease of achieving a special drug/herbal medicine store,mode,
R603NK2,POSYANDU MENURUT KEGIATAN/PELAYANAN SELAMA SETAHUN TERAKHIR,Posyandu according to activities/services for the past year,sum,
R603N1K2,POSYANDU YANG MELAKUKAN KEGIATAN PENYULUHAN/PENDIDIKAN,Posyandu who carries out counseling/education activities,sum,
R603N2K2,POSYANDU YANG MEMBERIKAN MAKANAN/MINUMAN TAMBAHAN,Posyandu which provides additional food/drinks,sum,
R603N3K2,POSYANDU DENGAN KEGIATAN/PELAYANAN SETIAP SEBULAN SEKALI,Posyandu with activities/services once a month,sum,
R603N4K2,POSYANDU DENGAN KEGIATAN/PELAYANAN SETIAP 2 BULAN SEKALI ATAU LEBIH,Posyandu with activities/services every 2 months or more,sum,
R604,JUMLAH WARGA PENDERITA GIZI BURUK (MARASMUS DAN KWASHIORKOR) PADA TAHUN 2019,Number of citizens with malnutrition (Marasmus and Kwashiorkor) in 2019,sum,
R605AK2,KEJADIAN LUAR BIASA (KLB) MUNTABER/DIARE,Extraordinary Events (KLB) Muntaber/diarrhea,sum,
R605AK3,JUMLAH PENDERITA MUNTABER/DIARE,Number of sufferers of vomiting/diarrhea,sum,
R605AK4,JUMLAH PENDERITA YANG MENINGGAL KARENA MUNTABER/DIARE,The number of sufferers who died of vomiting/diarrhea,sum,
R605BK2,KEJADIAN LUAR BIASA (KLB) DEMAM BERDARAH,Extraordinary Events (KLB) Dengue Fever,sum,
R605BK3,JUMLAH PENDERITA DEMAM BERDARAH,The number of people with dengue fever,sum,
R605BK4,JUMLAH PENDERITA YANG MENINGGAL KARENA DEMAM BERDARAH,The number of sufferers who died of dengue fever,sum,
R605CK2,KEJADIAN LUAR BIASA (KLB) CAMPAK,Extraordinary Events (KLB) Measles,sum,
R605CK3,JUMLAH PENDERITA CAMPAK,Number of measles sufferers,sum,
R605CK4,JUMLAH PENDERITA YANG MENINGGAL KARENA CAMPAK,The number of sufferers who died of measles,sum,
R605DK2,KEJADIAN LUAR BIASA (KLB) MALARIA,Extraordinary Events (KLB) Malaria,sum,
R605DK3,JUMLAH PENDERITA MALARIA,Number of malaria sufferers,sum,
R605DK4,JUMLAH PENDERITA YANG MENINGGAL KARENA MALARIA,The number of sufferers who died of malaria,sum,
R605EK2,KEJADIAN LUAR BIASA (KLB) FLU BURUNG/SARS,Extraordinary Events (KLB) bird flu/sars,sum,
R605EK3,JUMLAH PENDERITA FLU BURUNG/SARS,The number of bird flu sufferers/sars,sum,
R605EK4,JUMLAH PENDERITA YANG MENINGGAL KARENA FLU BURUNG/SARS,The number of sufferers who died of bird flu/sars,sum,
R605FK2,KEJADIAN LUAR BIASA (KLB) HEPATITIS E,Extraordinary Events (KLB) Hepatitis E,sum,
R605FK3,JUMLAH PENDERITA HEPATITIS E,The number of people with hepatitis e,sum,
R605FK4,JUMLAH PENDERITA YANG MENINGGAL KARENA HEPATITIS E,The number of sufferers who died of hepatitis e,sum,
R605GK2,KEJADIAN LUAR BIASA (KLB) DIFTERI,Extraordinary Events (KLB) Diphtheria,sum,
R605GK3,JUMLAH PENDERITA DPT DIFTERI,Number of sufferers of diphtheria,sum,
R605GK4,JUMLAH PENDERITA YANG MENINGGAL KARENA DPT DIFTERI,The number of sufferers who died due to diphtheria DPT,sum,
R605HK2,KEJADIAN LUAR BIASA (KLB) COVID-19,Extraordinary Events (KLB) Covid-19,sum,
R605HK3,JUMLAH PENDERITA COVID-19,Number of Covid-19 sufferers,sum,
R605HK4,JUMLAH PENDERITA YANG MENINGGAL KARENA COVID-19,Number of sufferers who died of Covid-19,sum,
R605IK2,"KEJADIAN LUAR BIASA (KLB) LAINNYA (MISALNYA: CHIKUNGUNYA, LEPTOSPIROSIS, KOLERA, DLL.)","Other extraordinary events (KLB) (for example: Chikungunya, leptospirosis, cholera, etc.)",sum,
R605IK3,"JUMLAH PENDERITA LAINNYA (MISALNYA: CHIKUNGUNYA, LEPTOSPIROSIS, KOLERA, DLL.)","The number of other sufferers (for example: chikungunya, leptospirosis, cholera, etc.)",sum,
R605IK4,"JUMLAH PENDERITA YANG MENINGGAL KARENA LAINNYA (MISALNYA: CHIKUNGUNYA, LEPTOSPIROSIS, KOLERA, DLL.)","The number of sufferers who died due to other (for example: chikungunya, leptospirosis, cholera, etc.)",sum,
R701AK2,KETERSEDIAAN FASILITAS/LAPANGAN: SEPAK BOLA,Availability of facilities/field: soccer,mode,
R701AK3,KELOMPOK KEGIATAN : SEPAK BOLA,Activity Group: Football,proportion,
R701BK2,KETERSEDIAAN FASILITAS/LAPANGAN: BOLA VOLI,Availability of facilities/field: volleyball,mode,
R701BK3,KELOMPOK KEGIATAN : BOLA VOLI,Activity Group: Volleyball,proportion,
R701CK2,KETERSEDIAAN FASILITAS/LAPANGAN: BULU TANGKIS,Availability of facilities/field: badminton,mode,
R701CK3,KELOMPOK KEGIATAN : BULU TANGKIS,Activity Group: Badminton,proportion,
R701DK2,KETERSEDIAAN FASILITAS/LAPANGAN: BOLA BASKET,Availability of facilities/field: basketball,mode,
R701DK3,KELOMPOK KEGIATAN : BOLA BASKET,Activity Group: Basketball,proportion,
R701EK2,KETERSEDIAAN FASILITAS/LAPANGAN: TENIS LAPANGAN,Availability of Facilities/Field: Field Tennis,mode,
R701EK3,KELOMPOK KEGIATAN : TENIS LAPANGAN,Activity Group: Field Tennis,proportion,
R701FK2,KETERSEDIAAN FASILITAS/LAPANGAN: TENIS MEJA,Availability of Facilities/Field: Table Tennis,mode,
R701FK3,KELOMPOK KEGIATAN : TENIS MEJA,Activity Group: Table Tennis,proportion,
R701GK2,KETERSEDIAAN FASILITAS/LAPANGAN: FUTSAL,Availability of Facilities/Field: Futsal,mode,
R701GK3,KELOMPOK KEGIATAN : FUTSAL,Activity Group: Futsal,proportion,
R701HK2,KETERSEDIAAN FASILITAS/LAPANGAN: RENANG,Availability of Facilities/Field: Swimming,mode,
R701HK3,KELOMPOK KEGIATAN : RENANG,Activity Group: Swimming,proportion,
R701IK2,"KETERSEDIAAN FASILITAS/LAPANGAN: BELA DIRI (PENCAK SILAT, KARATE, DLL.)","Availability of facilities/field: self -defense (pencak silat, karate, etc.)",mode,
R701IK3,"KELOMPOK KEGIATAN : BELA DIRI (PENCAK SILAT, KARATE, DLL.)","Activity Group: self -defense (pencak silat, karate, etc.)",proportion,
R701JK2,KETERSEDIAAN FASILITAS/LAPANGAN: BILYARD,Availability of Facilities/Field: Billiard,mode,
R701JK3,KELOMPOK KEGIATAN : BILYARD,Activity Group: Billiard,proportion,
R701KK2,"KETERSEDIAAN FASILITAS/LAPANGAN: PUSAT KEBUGARAN (FITNES, AEROBIK)","Availability of Facilities/Field: Fitness Center (Fitness, Aerobics)",mode,
R701KK3,KELOMPOK KEGIATAN : PUSAT KEBUGARAN (FITNESS CENTER) :,Activity Group: Fitness Center (Fitness Center):,proportion,
R701LK2,KETERSEDIAAN FASILITAS/LAPANGAN: LAINNYA,Availability of Facilities/Field: Others,mode,
R701LK3,KELOMPOK KEGIATAN : LAINNYA,Activity Group: Other,proportion,
R702,KEBERADAAN PUB/DISKOTIK/TEMPAT KARAOKE YANG MASIH BERFUNGSI,The existence of a pub/discotheque/karaoke place that is still functioning,proportion,
R703,"RUANG PUBLIK TERBUKA YANG PERUNTUKAN UTAMANYA SEBAGAI TEMPAT BAGI WARGA DESA/KELURAHAN UNTUK BERSANTAI/BERMAIN TANPA PERLU MEMBAYAR (MISALNYA: LAPANGAN TERBUKA/ALUN–ALUN, TAMAN, DLL.)","Open public space whose main designation is a place for village/kelurahan residents to relax/play without the need to pay (for example: open fields/squares, parks, etc.)",mode,
R801A,LALU LINTAS DARI/KE DESA/KELURAHAN MELALUI,Traffic from/to villages/kelurahan through,mode,
R801B1,JENIS PERMUKAAN JALAN YANG TERLUAS,The widest type of road surface,mode,
R801B2,JALAN DARAT DAPAT DILALUI KENDARAAN BERMOTOR RODA 4 ATAU LEBIH,Roads can be passed by 4 or more motorized motor vehicles,mode,
R801C1,ANGKUTAN UMUM YANG MELEWATI DESA/KELURAHAN : KEBERADAAN ANGKUTAN UMUM,Public transportation that passes through villages/kelurahan: the existence of public transportation,mode,
R801C2,ANGKUTAN UMUM YANG MELEWATI DESA/KELURAHAN : OPERASIONAL ANGKUTAN UMUM YANG UTAMA,Public transportation that passes through villages/kelurahan: Main Public Transportation Operations,proportion,
R801C3,ANGKUTAN UMUM YANG MELEWATI DESA/KELURAHAN : JAM OPERASI ANGKUTAN UMUM YANG UTAMA,Public transportation that passes through villages/kelurahan: the main public transport operating hours,proportion,
R802AK2,SARANA TRANSPORTASI YANG BIASA DIGUNAKAN DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,Transportation facilities commonly used from the village head/lurah office to the sub -district office,mean,
R802AK3,JENIS ANGKUTAN UMUM DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,Types of Public Transportation from the Village Head/Lurah Office to the Sub -District Office,mean,
R802AK4,JENIS ANGKUTAN UMUM YANG UTAMA DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,The main type of public transportation from the village head/lurah office to the sub -district office,mean,
R802AK5,JARAK TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,The distance from the village head/lurah office to the sub -district office,mean,
R802AK6A,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT (JAM),Travel time from the village head/lurah office to the sub -district office (hour),mean,
R802AK6B,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT (MENIT),Travel time from the village head/lurah office to the sub -district office (minute),mean,
R802AK7,BIAYA TRANSPORTASI DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,Transportation costs from the Village/Lurah Head Office to the Sub -District Office,mean,
R802BK2,SARANA TRANSPORTASI YANG BIASA DIGUNAKAN DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,Transportation facilities commonly used from the Village/Lurah Head Office to the Regent/Mayor's Office,mean,
R802BK3,JENIS ANGKUTAN UMUM DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,Types of Public Transportation from the Village Head/Lurah Office to the Regent/Mayor's Office,mean,
R802BK4,JENIS ANGKUTAN UMUM YANG UTAMA DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,The main type of public transportation from the village head/lurah office to the regent/mayor's office,mean,
R802BK5,JARAK TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,The distance from the village head/lurah office to the regent/mayor's office,mean,
R802BK6A,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA (JAM),Travel time from the village head/lurah office to the regent/mayor's office (hours),mean,
R802BK6B,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA (MENIT),Travel time from the village head/lurah office to the regent/mayor's office (minutes),mean,
R802BK7,BIAYA TRANSPORTASI DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,Transportation costs from the Village/Lurah Head Office to the Regent/Mayor's Office,mean,
R803A,JUMLAH KELUARGA YANG BERLANGGANAN TELEPON KABEL,The number of families subscribed to cable phones,sum,
R803B,KEBERADAAN WARGA YANG MENGGUNAKAN TELEPON SELULER/HANDPHONE,The presence of residents who use cell phones/mobile phones,mean,
R804,"KEBERADAAN INTERNET UNTUK WARNET, GAME ONLINE, DAN FASILITAS LAINNYA DI DESA/KELURAHAN","The existence of the internet for internet cafes, online games, and other facilities in the village/kelurahan",proportion,
R805A,JUMLAH MENARA TELEPON SELULER ATAU BASE TRANSCEIVER STATION (BTS),Number of Cell Phone Tower or Base Transceiver Station (BTS),sum,
R805B,JUMLAH OPERATOR LAYANAN KOMUNIKASI TELEPON SELULER/HANDPHONE YANG MENJANGKAU DI DESA/KELURAHAN,Number of cellular/mobile phone communication service operators that reach the village/kelurahan,sum,
R805C,SINYAL TELEPON SELULER/HANDPHONE DI SEBAGIAN BESAR WILAYAH DESA/KELURAHAN,Cellular/mobile phone signals in most villages/kelurahan areas,mode,
R805D,SINYAL INTERNET TELEPON SELULER/HANDPHONE DI SEBAGIAN BESAR WILAYAH DI DESA/KELURAHAN,Cell phone/mobile phone signals in most areas in the village/kelurahan,mode,
R806A,KOMPUTER/PC/LAPTOP YANG MASIH BERFUNGSI DI KANTOR KEPALA DESA/LURAH,Computers/PCs/laptops that still function in the Village Head/Lurah Office,mode,
R806B,FASILITAS INTERNET DI KANTOR KEPALA DESA/LURAH,Internet Facilities at the Village Head/Lurah Office,mode,
R807A,KANTOR POS/POS PEMBANTU/RUMAH POS,Post/post office/post house,mean,
